Author,Suite,Pluton,Age (MA),Sample,Rb ppm,Sr ppm,Rb/Sr,87Rb/86Sr,87Sr/86Sr(t),Sm,Nd,147Sm/144Nd,143Nd/144Nd,TDM,eNd(T=0),eNd_t,Author
[3],Shos,São João do Sabugi,579,HD-22,104,723,0.14384509,0.42,0.70787,2.4,19.4,0.0752,0.51153,1779.206333,-21.6,-12.64034098,"[1] Brito Neves, B. B., Neto, M. C., Van Schmus, W. R., & Santos, E. J. (2001). O ‘sistema Pajeú–Paraíba’eo ‘Maciço’São José do Campestre no l’este da Borborema. Revista Brasileira de Geociências, 31(2), 173-184."
[3],Shos,Casserengue,570,MA-186A,40,258,0.15503876,0.45,0.70716,11.6,75.1,0.0956,0.511749,1804.493032,-17.3,-9.990480751,"[2] Guimarães, I.P, da Silva Filho, A. F., de Araújo, D. B., de Almeida, C. N., & Dantas, E. (2009). Trans-alkaline magmatism in the Serrinha–Pedro Velho Complex, Borborema Province, NE Brazil and its correlations with the magmatism in eastern Nigeria. https://doi.org/10.1016/j.gr.2008.06.011 Gondwana Research, 15(1), 98-110."
[3],Shos,Casserengue,570,MA-164A,43,513,0.083820663,0.24,0.70693,11.6,71.1,0.0994,0.511706,1920.936497,-18.2,-11.10772434,"[3] Hollanda, M. H. B. M., Pimentel, M. M., & de Sá, E. F. J. (2003). Paleoproterozoic subduction-related metasomatic signatures in the lithospheric mantle beneath NE Brazil: inferences from trace element and Sr–Nd–Pb isotopic compositions of Neoproterozoic high-K igneous rocks. Journal of South American Earth Sciences, 15(8), 885-900."
[3],Shos,São João do Sabugi,579,HD-24,43,971,0.044284243,0.13,0.70988,3.6,34.1,0.0644,0.511224,1960.904386,-27.6,-17.8177353,"[4] Jardim de Sá, E.F. 1994. A Faixa Seridó (Província Borborema, NE do Brasil) e o seu significado geodinâmico na cadeia Brasiliana/Pan-Africana. Instituto de Geociências, Universidade de Brasília, Brasília, Tese de Doutorado, 803p."
[8],Shos,Casserengue,570,ES35F,138,524,0.263358779,0.763,0.713296,7.96,48.35,0.0995,0.511646,2001.919152,-19.35,-12.28711637,"[5] Nascimento, M.A.L. 2000. Petrologia do magmatismo tardi-brasiliano no Maciço São José de Campestre (RN-PB), com ênfase no plúton alcalino Caxexa. Pós-Graduação em Geodinâmica e Geofísica, Universidade Federal do Rio Grande do Norte, Dissertação de Mestrado, 142p."
[3],Shos,Sao Jose do Espinharas,575,HD-16,147,640,0.2296875,0.67,0.71021,9.3,72.6,0.0772,0.511349,2005.364718,-25.1,-16.38560845,[6] This work
[3],Shos,Acari,580,ED-123,113,824,0.137135922,0.4,0.70747,9.1,66.9,0.0815,0.511402,2009.664078,-24.1,-15.59305367,"[7] Sá, J. M., Galindo, A. C., Legrand, J. M., Souza, L. C. D., & Maia, H. N. (2014). Os granitos ediacaranos no contexto dos terrenos Jaguaribeano e Rio Piranhas-Seridó no oeste do RN, Província Borborema. Estudos Geológicos, 24(1), 3-22."
[3],Shos,Acari,580,AC-4B,140,899,0.155728587,0.45,0.70678,10.1,75.4,0.0802,0.511371,2025.264029,-24.7,-16.10213672,"[8] Souza, Z. S., Kalsbeek, F., Deng, X. D., Frei, R., Kokfelt, T. F., Dantas, E. L., ... & Galindo, A. C. (2016). Generation of continental crust in the northern part of the Borborema Province, northeastern Brazil, from Archaean to Neoproterozoic. Journal of South American Earth Sciences, 68, 68-96."
[3],Shos,Acari,580,AC-4A,145,981,0.147808359,0.43,0.70681,10.1,77.2,0.0792,0.511356,2027.133823,-24.9,-16.32092565,
[8],EHKCalcAlkAlk,Cerro Cora,560,D19B,236,1072,0.220149254,0.638,0.710525,12.26,74.62,0.0993,0.511601,2057.795834,-20.23,-13.27615943,
[3],Shos,Sao Jose do Espinharas,575,ED-174B,146,650,0.224615385,0.65,0.71041,9.4,70.9,0.0805,0.511332,2073.968069,-25.5,-16.96058774,
[3],Shos,Acari,580,AC-3B,67,707,0.09476662,0.27,0.70659,5.4,34.9,0.0941,0.511512,2081.186932,-21.9,-14.37961205,
[8],PHKCalcAlkAlk,Serrinha,575,ES31I,119,392,0.303571429,1.051,0.71253,5.48,40.07,0.0827,0.51133,2110.861448,-25.52,-17.16157889,
[3],Shos,São João do Sabugi,579,ED-61,105,601,0.174708819,0.51,0.70766,8.1,48.3,0.1019,0.511594,2114.766047,-20.4,-13.36892249,
[8],PHKCalcAlkAlk,Serrinha,575,ES31G,127,478,0.265690377,0.769,0.713463,6.48,47.24,0.0829,0.511328,2116.372735,-25.55,-17.21536932,
[3],PHKCalcAlkAlk,Totoro,580,ED-131,153,261,0.586206897,1.71,0.70718,3.5,27.5,0.0787,0.511257,2130.294386,-26.9,-18.21781192,
[3],PHKCalcAlkAlk,Serra Negra do Norte,580,SN-12,186,691,0.269175109,0.78,0.70861,11.2,78.8,0.0862,0.511362,2130.5572,-24.9,-16.72341065,
[3],Shos,São João do Sabugi,579,ED-60,125,533,0.234521576,0.68,0.70784,8,46.9,0.1031,0.511593,2138.914735,-20.4,-13.47739476,
[3],Shos,Totoro,595,ED-111,147,551,0.266787659,0.77,0.70649,8.2,68.6,0.0791,0.511251,2143.302357,-27.1,-18.13916865,
[3],Shos,São João do Sabugi,579,ED-63,83,830,0.1,0.29,0.70763,7.7,45.1,0.1036,0.511593,2148.560317,-20.4,-13.5144518,
[3],Shos,Acari,580,AC-5E,112,665,0.168421053,0.49,0.70729,9.2,62.2,0.0851,0.511323,2158.186325,-25.7,-17.40362564,
[3],Shos,São João do Sabugi,579,HD-23,42,506,0.083003953,0.24,0.70985,7.9,46.9,0.1024,0.511559,2171.613333,-21.1,-14.08971784,
[3],Shos,Acari,580,AC-5D,118,676,0.174556213,0.51,0.70704,8.4,58.6,0.0871,0.511324,2190.847066,-25.6,-17.53257523,
[3],Shos,Totoro,595,ED-110A,67,445,0.150561798,0.44,0.70601,5.7,33.5,0.1029,0.511544,2201.74905,-21.3,-14.22789806,
[3],PHKCalcAlkAlk,Totoro,580,ED-112,123,459,0.267973856,0.78,0.70682,4.7,33.8,0.0841,0.511258,2217.252958,-26.9,-18.59918604,
[3],Shos,São João do Sabugi,579,ED-153,45,889,0.050618673,0.15,0.70798,7.4,42.2,0.1052,0.511566,2217.526251,-20.9,-14.16048959,
[3],PHKCalcAlkAlk,Acari,577,AC-7B,164,239,0.686192469,1.99,0.70678,5.1,34.9,0.0881,0.511298,2239.360115,-26.1,-18.15638404,
[3],Shos,São João do Sabugi,579,ED-65,81,870,0.093103448,0.27,0.70821,7.5,42.5,0.1062,0.511546,2266.035739,-21.3,-14.62531127,
