AUTOR,SERIE,Age (MA),PLUTON,Sample,Rb ppm,Sr ppm,Rb/Sr,87Rb/86Sr(T),Error,87Sr/86Sr(T),Error
[12],Alk,578,Caxexa,MA-12,76,143,0.531468531,1.5391,0.0002,0.71725,0.00005
[12],Alk,578,Caxexa,MA-23A,149,345,0.431884058,1.2507,0.0002,0.717014,0.00005
[12],Alk,578,Caxexa,MA-01,146.5,1002,0.146207585,0.7594,0.0028,0.713255,0.000071
[4],Alk,578,Caxexa,SC-G-7,114.5,516.6,0.221641502,0.639,0.01,0.7124,0.0016
[4],Alk,578,Caxexa,SC-G-7,110.8,513.7,0.215690091,0.625,0.011,0.712326,0.000011
[4],Alk,578,Caxexa,SC-G-5,94.52,659.56,0.14330766,0.4149,0.0034,0.711046,0.000015
[4],Alk,578,Caxexa,SC-G-5,94,638,0.147335423,0.43,0.01,0.7109,0.0028
[12],Alk,578,Caxexa,MA-21,135.9,918.7,0.147926418,0.3502,0.0015,0.710141,0.000071
[12],Alk,578,Caxexa,MA-12A,120.5,969.9,0.124239612,0.3392,0.0011,0.710024,0.000036
[12],Alk,578,Caxexa,MA-166,126,1407,0.089552239,0.2512,0.0008,0.70944,0.000064
[7],Alk,597,Japi,MH-12a,92.6,1307.3,0.070833015,0.205,,0.71035,0.0006
[7],Alk,597,Japi,MH-250,90.9,1441.4,0.063063688,0.1826,,0.70952,0.001
[7],Alk,597,Japi,MH-65c,62.4,1144.9,0.054502577,0.1579,,0.70835,0.0005
[7],Alk,597,Japi,MH-234b,60.9,1539.1,0.039568579,0.1146,,0.70754,0.0004
[7],Alk,597,Japi,MH-238a,61.5,1667.3,0.036885983,0.1068,,0.70689,0.0003
[12],Alk,,Serra do Algodao,RN-42,163.3,938.6,0.173982527,0.504,0.000115,0.71086,0.00005
[12],Alk,,Serra do Algodao,RN-40,188.7,1205.9,0.156480637,0.454,0.00079,0.71063,0.000035
[12],Alk,,Serra do Algodao,RN-40B,159.7,1339.1,0.119259204,0.345,0.00012,0.70978,0.000043
[12],Alk,,Serra do Boqueirao,RN-03C,124.31,1326,0.093748115,0.093748115,,0.70833,
[2],Archean,,Augen gnaisse,GT-G10,173.6,198.4,0.875,1.82,,0.7288,
[2],Archean,,Augen gnaisse,GNF-C9,108.6,523.1,0.207608488,0.6,,0.7219,
[2],Archean,,Gnaisse,SC-A1,256.8,113.6,2.26056338,6.68,,0.9119,
[2],Archean,,Gnaisse,SC-B21C,208,276.9,0.751173709,0.51,,0.7672,
[2],Archean,,Gnaisse,B-11-2R,48.2,381.5,0.126343381,0.37,,0.718,
[2],Archean,,Gnaisse,B-11-2T,69.2,453.9,0.152456488,0.44,,0.7175,
[2],Archean,,Gnaisse,SC-8-16,68.9,569.7,0.120940846,0.35,,0.7155,
[3],Archean,,Gnaisse,B-11-3P,64.3,477.5,0.134659686,0.39,,0.712,
[3],Archean,,Gnaisse,B-11-3L,38.5,869.4,0.044283414,0.13,,0.7095,
[3],Archean,,Gnaisse,B-11-3I,48.6,347.5,0.139856115,0.4,,0.7086,
[3],Archean,,Gnaisse,B-11-3F,19.1,310.3,0.061553335,0.18,,0.7073,
[3],Archean,,Gnaisse,B-11-3J,23.6,220.1,0.107223989,0.31,,0.7069,
[3],Archean,,Gnaisse,B-11-3K,28.5,374.4,0.076121795,0.22,,0.7064,
[3],Archean,,Gnaisse,B-11-3E,24.6,382.7,0.064280115,0.19,,0.7061,
[2],Archean,,Gnaisse biotítico,SC-8-15,78.4,510.6,0.153544849,0.45,,0.7189,
[3],Archean,,Gnaisse diorítico,B-11-3B,26.2,348,0.075287356,0.22,,0.7065,
[2],Archean,,Gnaisse facoidal,SC-B20,135.5,67.8,1.998525074,1.17,,0.8879,
[2],Archean,,Gnaisse granítico,GNF-C3,255.5,130.5,1.957854406,5.77,,0.8861,
[2],Archean,,Gnaisse granítico,GNF-C4,264.7,118.6,2.231871838,6.58,,0.8851,
[2],Archean,,Gnaisse granítico,GNF-C2A,260.4,128.5,2.026459144,5.97,,0.8793,
[3],Archean,,Gnaisse granítico,B-11-2B,89.8,67.1,1.338301043,3.92,,0.8187,
[2],Archean,,Gnaisse granítico,SC-B18,254.3,72.2,3.522160665,1.08,,0.7992,
[3],Archean,,Gnaisse granítico,B-11-2E,70.1,93.7,0.748132337,2.18,,0.7877,
